,city,province,country,confirm,dead,heal,suspect,update_time
0,武汉,湖北,中国,45346,1684,6214,0,2020-02-21 15:39:51
1,孝感,湖北,中国,3346,94,771,0,2020-02-21 15:39:51
2,黄冈,湖北,中国,2856,90,1274,0,2020-02-21 15:39:51
3,荆州,湖北,中国,1517,40,531,0,2020-02-21 15:39:51
4,鄂州,湖北,中国,1343,39,375,0,2020-02-21 15:39:51
5,随州,湖北,中国,1287,28,386,0,2020-02-21 15:39:51
6,襄阳,湖北,中国,1170,24,343,0,2020-02-21 15:39:51
7,黄石,湖北,中国,974,27,339,0,2020-02-21 15:39:51
8,宜昌,湖北,中国,895,28,250,0,2020-02-21 15:39:51
9,荆门,湖北,中国,800,37,229,0,2020-02-21 15:39:51
10,咸宁,湖北,中国,766,10,313,0,2020-02-21 15:39:51
11,十堰,湖北,中国,654,2,209,0,2020-02-21 15:39:51
12,仙桃,湖北,中国,568,19,210,0,2020-02-21 15:39:51
13,天门,湖北,中国,477,12,165,0,2020-02-21 15:39:51
14,恩施州,湖北,中国,245,3,112,0,2020-02-21 15:39:51
15,监狱系统,湖北,中国,220,0,0,0,2020-02-21 15:39:51
16,潜江,湖北,中国,188,7,57,0,2020-02-21 15:39:51
17,神农架,湖北,中国,10,0,10,0,2020-02-21 15:39:51
18,深圳,广东,中国,416,2,199,0,2020-02-21 15:39:51
19,广州,广东,中国,339,0,173,0,2020-02-21 15:39:51
20,珠海,广东,中国,98,1,49,0,2020-02-21 15:39:51
21,东莞,广东,中国,93,1,27,0,2020-02-21 15:39:51
22,佛山,广东,中国,84,0,33,0,2020-02-21 15:39:51
23,中山,广东,中国,66,0,43,0,2020-02-21 15:39:51
24,惠州,广东,中国,62,0,41,0,2020-02-21 15:39:51
25,汕头,广东,中国,25,0,20,0,2020-02-21 15:39:51
26,江门,广东,中国,23,0,9,0,2020-02-21 15:39:51
27,湛江,广东,中国,22,0,12,0,2020-02-21 15:39:51
28,肇庆,广东,中国,18,1,8,0,2020-02-21 15:39:51
29,梅州,广东,中国,16,0,10,0,2020-02-21 15:39:51
30,茂名,广东,中国,14,0,6,0,2020-02-21 15:39:51
31,阳江,广东,中国,13,0,10,0,2020-02-21 15:39:51
32,清远,广东,中国,12,0,9,0,2020-02-21 15:39:51
33,韶关,广东,中国,10,0,5,0,2020-02-21 15:39:51
34,揭阳,广东,中国,8,0,4,0,2020-02-21 15:39:51
35,汕尾,广东,中国,5,0,2,0,2020-02-21 15:39:51
36,潮州,广东,中国,5,0,3,0,2020-02-21 15:39:51
37,河源,广东,中国,4,0,1,0,2020-02-21 15:39:51
38,地区待确认,广东,中国,0,0,0,0,2020-02-21 15:39:51
39,信阳,河南,中国,270,3,28,0,2020-02-21 15:39:51
40,郑州,河南,中国,157,1,36,0,2020-02-21 15:39:51
41,南阳,河南,中国,155,2,28,0,2020-02-21 15:39:51
42,驻马店,河南,中国,139,0,25,0,2020-02-21 15:39:51
43,商丘,河南,中国,91,1,9,0,2020-02-21 15:39:51
44,周口,河南,中国,76,0,16,0,2020-02-21 15:39:51
45,平顶山,河南,中国,58,1,13,0,2020-02-21 15:39:51
46,新乡,河南,中国,57,1,6,0,2020-02-21 15:39:51
47,安阳,河南,中国,53,0,10,0,2020-02-21 15:39:51
48,许昌,河南,中国,39,0,2,0,2020-02-21 15:39:51
49,漯河,河南,中国,35,0,6,0,2020-02-21 15:39:51
50,焦作,河南,中国,32,1,1,0,2020-02-21 15:39:51
51,洛阳,河南,中国,31,0,2,0,2020-02-21 15:39:51
52,开封,河南,中国,26,0,1,0,2020-02-21 15:39:51
53,鹤壁,河南,中国,19,0,3,0,2020-02-21 15:39:51
54,濮阳,河南,中国,17,0,1,0,2020-02-21 15:39:51
55,三门峡,河南,中国,7,0,3,0,2020-02-21 15:39:51
56,济源示范区,河南,中国,5,0,0,0,2020-02-21 15:39:51
57,地区待确认,河南,中国,0,9,527,0,2020-02-21 15:39:51
58,温州,浙江,中国,504,1,245,0,2020-02-21 15:39:51
